Order_Date,Supplier_Name,Item_Name,Quantity_Ordered,Quantity_Received,Unit_Cost,Total_Cost,Delivery_Date,Order_Status,Payment_Status,Notes
2025-07-15,Royal Coffee Importers,Ethiopian Yirgacheffe - Medium Roast,40,40,12.50,500.00,2025-07-20,delivered,paid,
2025-07-18,Java Bean Plus,Colombian Supremo - Dark Roast,20,20,10.75,215.00,2025-07-21,delivered,paid,
2025-07-18,Java Bean Plus,House Blend - Light Roast,24,24,8.25,198.00,2025-07-21,delivered,paid,
2025-07-22,Metro Dairy Distributors,Whole Milk,30,30,4.25,127.50,2025-07-23,delivered,paid,
2025-07-22,Metro Dairy Distributors,Oat Milk,12,12,3.75,45.00,2025-07-23,delivered,paid,
2025-07-28,Pacific Paper Supply,12oz Paper Cups,5,5,42.50,212.50,2025-08-04,delivered,paid,
2025-07-28,Pacific Paper Supply,12oz Cup Lids,3,3,35.25,105.75,2025-08-04,delivered,paid,
2025-08-01,Java Bean Plus,House Blend - Light Roast,40,40,8.25,330.00,2025-08-04,delivered,paid,
2025-08-05,Metro Dairy Distributors,Whole Milk,25,25,4.25,106.25,2025-08-06,delivered,paid,
2025-08-05,Metro Dairy Distributors,Oat Milk,10,10,3.75,37.50,2025-08-06,delivered,paid,
2025-08-10,Artisan Syrup Co,Vanilla Syrup,6,6,8.50,51.00,2025-08-14,delivered,paid,
2025-08-10,Artisan Syrup Co,Caramel Syrup,8,8,9.25,74.00,2025-08-14,delivered,paid,
2025-08-15,Royal Coffee Importers,Ethiopian Yirgacheffe - Medium Roast,60,0,12.50,750.00,2025-08-20,pending,pending,Expected delivery tomorrow